ITI,Jitter,SocialCues,SocialInfo,SocialPics,StockInfo,StockPics,Block
2,3,Reject,NonSocial,Pics/Faces/NonSocial/NonSocialReject.png,LV,Pics/Stocks/LV_13.png,2
2,2,Reject,NonSocial,Pics/Faces/NonSocial/NonSocialReject.png,HV,Pics/Stocks/HV_01.png,2
2,4,Reject,NonSocial,Pics/Faces/NonSocial/NonSocialReject.png,HV,Pics/Stocks/HV_07.png,2
4,2,Buy,Humans,Pics/Faces/Humans/HumansBuy.png,HV,Pics/Stocks/HV_30.png,2
4,4,Half,Humans,Pics/Faces/Humans/HumansHalf2.png,HV,Pics/Stocks/HV_02.png,2
2,3,Buy,NonSocial,Pics/Faces/NonSocial/NonSocialBuy.png,LV,Pics/Stocks/LV_39.png,2
2,2,Half,Humans,Pics/Faces/Humans/HumansHalf3.png,LV,Pics/Stocks/LV_20.png,2
4,4,Half,Humans,Pics/Faces/Humans/HumansHalf4.png,HV,Pics/Stocks/HV_14.png,2
2,3,Reject,NonSocial,Pics/Faces/NonSocial/NonSocialReject.png,LV,Pics/Stocks/LV_07.png,2
2,3,Half,NonSocial,Pics/Faces/NonSocial/NonSocialHalf1.png,HV,Pics/Stocks/HV_29.png,2
2,3,Buy,NonSocial,Pics/Faces/NonSocial/NonSocialBuy.png,LV,Pics/Stocks/LV_27.png,2
4,2,Reject,Humans,Pics/Faces/Humans/HumansReject.png,LV,Pics/Stocks/LV_10.png,2
3,2,Half,Humans,Pics/Faces/Humans/HumansHalf5.png,LV,Pics/Stocks/LV_08.png,2
3,2,Reject,Humans,Pics/Faces/Humans/HumansReject.png,HV,Pics/Stocks/HV_22.png,2
3,2,Half,Humans,Pics/Faces/Humans/HumansHalf2.png,LV,Pics/Stocks/LV_14.png,2
2,2,Buy,NonSocial,Pics/Faces/NonSocial/NonSocialBuy.png,HV,Pics/Stocks/HV_27.png,2
2,3,Reject,Humans,Pics/Faces/Humans/HumansReject.png,HV,Pics/Stocks/HV_16.png,2
2,3,Half,NonSocial,Pics/Faces/NonSocial/NonSocialHalf1.png,HV,Pics/Stocks/HV_41.png,2
2,2,Buy,Humans,Pics/Faces/Humans/HumansBuy.png,LV,Pics/Stocks/LV_18.png,2
5,3,Half,Humans,Pics/Faces/Humans/HumansHalf6.png,HV,Pics/Stocks/HV_20.png,2
4,2,Buy,NonSocial,Pics/Faces/NonSocial/NonSocialBuy.png,HV,Pics/Stocks/HV_33.png,2
4,4,Half,NonSocial,Pics/Faces/NonSocial/NonSocialHalf1.png,HV,Pics/Stocks/HV_17.png,2
3,3,Reject,NonSocial,Pics/Faces/NonSocial/NonSocialReject.png,LV,Pics/Stocks/LV_37.png,2
5,4,Half,NonSocial,Pics/Faces/NonSocial/NonSocialHalf4.png,LV,Pics/Stocks/LV_29.png,2
5,4,Buy,NonSocial,Pics/Faces/NonSocial/NonSocialBuy.png,LV,Pics/Stocks/LV_21.png,2
3,4,Half,Humans,Pics/Faces/Humans/HumansHalf5.png,LV,Pics/Stocks/LV_32.png,2
7,3,Half,NonSocial,Pics/Faces/NonSocial/NonSocialHalf5.png,LV,Pics/Stocks/LV_17.png,2
5,4,Buy,NonSocial,Pics/Faces/NonSocial/NonSocialBuy.png,HV,Pics/Stocks/HV_09.png,2
7,3,Reject,NonSocial,Pics/Faces/NonSocial/NonSocialReject.png,LV,Pics/Stocks/LV_01.png,2
2,2,Buy,Humans,Pics/Faces/Humans/HumansBuy.png,LV,Pics/Stocks/LV_30.png,2
3,4,Buy,NonSocial,Pics/Faces/NonSocial/NonSocialBuy.png,HV,Pics/Stocks/HV_21.png,2
2,2,Buy,Humans,Pics/Faces/Humans/HumansBuy.png,LV,Pics/Stocks/LV_24.png,2
2,2,Half,NonSocial,Pics/Faces/NonSocial/NonSocialHalf3.png,HV,Pics/Stocks/HV_47.png,2
2,4,Half,NonSocial,Pics/Faces/NonSocial/NonSocialHalf6.png,LV,Pics/Stocks/LV_35.png,2
3,3,Reject,Humans,Pics/Faces/Humans/HumansReject.png,LV,Pics/Stocks/LV_40.png,2
2,2,Buy,Humans,Pics/Faces/Humans/HumansBuy.png,LV,Pics/Stocks/LV_12.png,2
3,2,Half,Humans,Pics/Faces/Humans/HumansHalf2.png,HV,Pics/Stocks/HV_38.png,2
9,4,Buy,NonSocial,Pics/Faces/NonSocial/NonSocialBuy.png,LV,Pics/Stocks/LV_45.png,2
4,4,Buy,NonSocial,Pics/Faces/NonSocial/NonSocialBuy.png,LV,Pics/Stocks/LV_33.png,2
2,4,Buy,NonSocial,Pics/Faces/NonSocial/NonSocialBuy.png,HV,Pics/Stocks/HV_45.png,2
5,2,Reject,NonSocial,Pics/Faces/NonSocial/NonSocialReject.png,LV,Pics/Stocks/LV_19.png,2
8,3,Buy,NonSocial,Pics/Faces/NonSocial/NonSocialBuy.png,HV,Pics/Stocks/HV_15.png,2
2,3,Reject,NonSocial,Pics/Faces/NonSocial/NonSocialReject.png,LV,Pics/Stocks/LV_31.png,2
2,2,Buy,NonSocial,Pics/Faces/NonSocial/NonSocialBuy.png,HV,Pics/Stocks/HV_03.png,2
2,2,Buy,Humans,Pics/Faces/Humans/HumansBuy.png,HV,Pics/Stocks/HV_12.png,2
4,4,Half,NonSocial,Pics/Faces/NonSocial/NonSocialHalf6.png,LV,Pics/Stocks/LV_41.png,2
2,4,Buy,Humans,Pics/Faces/Humans/HumansBuy.png,HV,Pics/Stocks/HV_42.png,2
3,4,Reject,Humans,Pics/Faces/Humans/HumansReject.png,HV,Pics/Stocks/HV_04.png,2
